,index,0
0,"('tesla', 's')",2
1,"('until', 'this')",2
2,"('this', 'happens')",2
3,"('model', 's')",1
4,"('debt', 'wo')",1
5,"('wo', 'nt')",1
6,"('nt', 'get')",1
7,"('get', 'upgraded')",1
8,"('upgraded', 'until')",1
9,"('happens', 'report')",1
10,"('report', 'three')",1
11,"('three', 'tesla')",1
12,"('tesla', 'semi')",1
13,"('semi', 'spotted')",1
14,"('spotted', 'together')",1
15,"('together', 'ezra')",1
16,"('ezra', 'dyer')",1
17,"('dyer', 'tesla')",1
18,"('s', 'new')",1
19,"('new', 'reality')",1
20,"('reality', 'moody')",1
21,"('moody', 's')",1
22,"('s', 'doe')",1
23,"('doe', 'nt')",1
24,"('nt', 'want')",1
25,"('want', 'to')",1
26,"('to', 'upgrade')",1
27,"('upgrade', 'tesla')",1
28,"('tesla', 'debt')",1
29,"('s', 'debt')",1
30,"('tesla', 'model')",1
31,"('update', 'tesla')",1
32,"('owner', 'going')",1
33,"('s', 'plaid')",1
34,"('plaid', 'totaled')",1
35,"('totaled', 'service')",1
36,"('service', 'center')",1
37,"('center', 'employee')",1
38,"('employee', 'leaving')",1
39,"('leaving', 'owner')",1
40,"('owner', 'without')",1
41,"('without', 'answer')",1
42,"('answer', 'these')",1
43,"('these', 'tesla')",1
44,"('tesla', 'owner')",1
45,"('going', 'great')",1
46,"('software', 'update')",1
47,"('great', 'length')",1
48,"('length', 'get')",1
49,"('get', 'elon')",1
50,"('elon', 'musk')",1
51,"('musk', 's')",1
52,"('s', 'attention')",1
53,"('attention', '202228')",1
54,"('202228', 'official')",1
55,"('official', 'tesla')",1
56,"('tesla', 'release')",1
57,"('release', 'note')",1
58,"('note', 'software')",1
59,"('debt', 'until')",1
