,Author,Published Date,Title,Text,Title_without_stopwords,Text_without_stopwords,Language,Site_url,Main_img_url,Type,Label,hasImage
0,Newsweek,2022-09-06,"California Wildfires, Blackout Fears Create Conflict for Electric Car Users","Electric vehicle owners are caught in confusion as conflicting reports of energy conservation requests and wildfire evacuation warnings sweep California.
Newsweek reported last week that much of sou… [+3539 chars]","California Wildfires , Blackout Fears Create Conflict Electric Car Users",Electric vehicle owners caught confusion conflicting reports energy conservation requests wildfire evacuation warnings sweep California . Newsweek reported last week much sou… [ +3539 chars ],English,https://www.newsweek.com/california-wildfires-blackout-fears-create-conflict-electric-car-users-1740352,https://d.newsweek.com/en/full/2110898/wildfire-evacuations-are-place-california.jpg,Unknown,Unknown,True
1,Fortune,2022-09-05,"Elon Musk told Trump to sail into the sunset, now the former President tells supporters it’s time to get rid of electric cars in Pennsylvania rally rant","In his first comments since the FBI raid on his Mar-a-Lago compound, Donald Trump took aim at electric vehicles in a speech over the weekend that managed to attack two of his main opponentsrising Rep… [+5512 chars]","Elon Musk told Trump sail sunset , former President tells supporters ’ time get rid electric cars Pennsylvania rally rant","In first comments since FBI raid Mar-a-Lago compound , Donald Trump took aim electric vehicles speech weekend managed attack two main opponentsrising Rep… [ +5512 chars ]",English,https://fortune.com/2022/09/05/donald-trump-electric-car-rant-pennsylvania-rally-shot-at-elon-musk-tesla-joe-biden/,"https://content.fortune.com/wp-content/uploads/2022/09/GettyImages-1242931015-e1662384817818.jpg?resize=1200,600",Unknown,Unknown,True
2,Electrek,2022-09-06,"Foldable solar panel with 20A power station charger, more now $140 in New Green Deals","With fall on the horizon, you might be planning some outdoor adventures with the family. If those trips plan to take you off-grid for an extended period of time, then be sure to have this 120W foldab… [+6406 chars]","Foldable solar panel 20A power station charger , $ 140 New Green Deals","With fall horizon , might planning outdoor adventures family . If trips plan take off-grid extended period time , sure 120W foldab… [ +6406 chars ]",English,https://electrek.co/2022/09/06/foldable-solar-panel-charge-controller-more-new-green-deals/,https://i0.wp.com/electrek.co/wp-content/uploads/sites/3/2022/09/foldable-solar-panel-ecoworthy.jpg?resize=1200%2C628&quality=82&strip=all&ssl=1,Unknown,Unknown,True
3,24/7 Wall St.,2022-09-04,How Many People Were Born the Year You Were Born,"At the forefront of issues that face humanity, many would rank climate change and overpopulation as perhaps some of the biggest existential threats. However, there are some, including Tesla CEO Elon … [+1878 chars]",How Many People Were Born Year You Were Born,"At forefront issues face humanity , many would rank climate change overpopulation perhaps biggest existential threats . However , , including Tesla CEO Elon … [ +1878 chars ]",English,https://247wallst.com/special-report/2022/09/04/how-many-people-were-born-the-year-you-were-born-6/,https://247wallst.com/wp-content/uploads/2022/08/imageForEntry19-BaV.jpg,Unknown,Unknown,True
4,CNA,2022-09-06,"Indian Gautam Adani's rise to world's third-richest came as stock jumps topped 1,000%","Judging by the stock market, Adanis moves have been wildly successful.
Shares in some of his companies have climbed more than 1,000 per cent since 2020. That compares with a 44 per cent advance for … [+2105 chars]","Indian Gautam Adani 's rise world 's third-richest came stock jumps topped 1,000 %","Judging stock market , Adanis moves wildly successful . Shares companies climbed 1,000 per cent since 2020 . That compares 44 per cent advance … [ +2105 chars ]",English,https://www.channelnewsasia.com/business/india-gautam-adani-third-richest-billionaire-bezos-musk-2922926,"https://onecms-res.cloudinary.com/image/upload/s--YG2Ax30K--/fl_relative,g_south_east,l_one-cms:core:watermark:afp_watermark,w_0.1/f_auto,q_auto/c_fill,g_auto,h_676,w_1200/v1/one-cms/core/46ca819dd41f0c46407ed2bf7577aca3d3646855.jpg?itok=L6ALDku6",Unknown,Unknown,True
5,BBC News,2022-09-06,UK firm takes on Apple iPhone14 and Elon Musk with satellite phone,"By Zoe KleinmanTechnology editor
A British smartphone maker hopes to steal a march on Apple and Tesla boss Elon Musk with a new satellite-connected handset, the BBC has learned.
If there is no wi-f… [+2921 chars]",UK firm takes Apple iPhone14 Elon Musk satellite phone,"By Zoe KleinmanTechnology editor A British smartphone maker hopes steal march Apple Tesla boss Elon Musk new satellite-connected handset , BBC learned . If wi-f… [ +2921 chars ]",English,https://www.bbc.co.uk/news/technology-62796363,https://ichef.bbci.co.uk/news/1024/branded_news/CC7D/production/_126594325_bullitt-services-header-01-min-1.png,Unknown,Unknown,True
6,Yahoo Entertainment,2022-09-06,"Bed Bath & Beyond lawsuit, Twitter-Musk hearing, and Meta fine: Legal stories to watch","During this holiday-shortened week, Yahoo Finance is watching a courtroom battle that will set the stage for Elon Musk's counterclaims against Twitter (TWTR) in the Tesla (TSLA) CEO's fight to escape… [+5208 chars]","Bed Bath & Beyond lawsuit , Twitter-Musk hearing , Meta fine : Legal stories watch","During holiday-shortened week , Yahoo Finance watching courtroom battle set stage Elon Musk 's counterclaims Twitter ( TWTR ) Tesla ( TSLA ) CEO 's fight escape… [ +5208 chars ]",English,https://finance.yahoo.com/news/bed-bath-beyond-twitter-musk-and-meta-fine-legal-stories-to-watch-182141141.html,https://s.yimg.com/ny/api/res/1.2/gCTXv.Sgak3fhwoYrKDc4Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03OTk-/https://s.yimg.com/os/creatr-uploaded-images/2022-08/214bc7d0-2807-11ed-bbfd-041562c4885a,Unknown,Unknown,True
7,Yahoo Entertainment,2022-09-05,"'We don’t have enough' lithium globally to meet EV targets, mining CEO says","Climate provisions in the Inflation Reduction Act put the U.S. back on track toward significant emissions reductions, potentially reducing greenhouse gas output by 40% of 2005 levels.
But one miner … [+4654 chars]","'We ’ enough ' lithium globally meet EV targets , mining CEO says","Climate provisions Inflation Reduction Act put U.S. back track toward significant emissions reductions , potentially reducing greenhouse gas output 40 % 2005 levels . But one miner … [ +4654 chars ]",English,https://finance.yahoo.com/news/lithium-supply-ev-targets-miner-181513161.html,https://s.yimg.com/ny/api/res/1.2/kWL80O4s1pv6DmmhItuMdg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2022-08/dd78a670-2af1-11ed-bfee-40a901ec3bd5,Unknown,Unknown,True
8,The Daily Dot,2022-09-05,"‘They annoyed me’: Former Starbucks worker says he would end ‘pay it forward’ chains himself, sparking debate","For years, the pay it forward trend has been prevalent across Starbucks locations. This involves someone buying their coffee or food and telling the barista to also cover the next order. On many occa… [+2351 chars]","‘ They annoyed ’ : Former Starbucks worker says would end ‘ pay forward ’ chains , sparking debate","For years , pay forward trend prevalent across Starbucks locations . This involves someone buying coffee food telling barista also cover next order . On many occa… [ +2351 chars ]",English,https://www.dailydot.com/irl/starbucks-worker-ending-pay-it-forward/,https://uploads.dailydot.com/2022/09/starbs_pay_it_forward.jpg?auto=compress&fm=pjpg,Unknown,Unknown,True
9,Forbes,2022-09-06,Five Mistakes Boards Make When Thinking About Purpose,"Five Mistakes Boards Make When Thinking About Purpose
Photo by Damir Kopezhanov on Unsplash
When it comes to the topic of Purpose in business, Boards have a crucial role to play in unleashing its p… [+6385 chars]",Five Mistakes Boards Make When Thinking About Purpose,"Five Mistakes Boards Make When Thinking About Purpose Photo Damir Kopezhanov Unsplash When comes topic Purpose business , Boards crucial role play unleashing p… [ +6385 chars ]",English,https://www.forbes.com/sites/afdhelaziz/2022/09/06/five-mistakes-boards-make-when-thinking-about-purpose/,https://imageio.forbes.com/specials-images/imageserve/631743ef67ccb7ced4213ebe/0x0.jpg?format=jpg&width=1200,Unknown,Unknown,True
