,Author,Published Date,Title,Text,Title_without_stopwords,Text_without_stopwords,Language,Site_url,Main_img_url,Type,Label,hasImage
0,David A. Wood,2022-09-05,Tesla Pre-Owned Warranty Class Action Lawsuit is Over,"Tesla owners claim they didn't receive the results of certified pre-owned vehicle inspections.
 September 5, 2022 — A Tesla pre-owned warranty class action lawsuit is over after a plaintiff sued in 2019 by alleging used Model S and Model X warranties are practically worthless.
 Lead plaintiff Hugh Nguyen says he believed the used Model S car he purchased would get about 200 miles per full charge at 100% battery capacity, but the battery could take the car only 165 miles on a full charge.
 He brought the Model S to Tesla technicians multiple times but Tesla allegedly could not repair the battery.",Tesla Pre-Owned Warranty Class Action Lawsuit Over,"Tesla owners claim n't receive results certified pre-owned vehicle inspections . September 5 , 2022 — A Tesla pre-owned warranty class action lawsuit plaintiff sued 2019 alleging used Model S Model X warranties practically worthless . Lead plaintiff Hugh Nguyen says believed used Model S car purchased would get 200 miles per full charge 100 % battery capacity , battery could take car 165 miles full charge . He brought Model S Tesla technicians multiple times Tesla allegedly could repair battery .",English,https://www.carcomplaints.com/news/2022/tesla-pre-owned-warranty-class-action-lawsuit.shtml,,Unknown,Unknown,Unknwon
1,Anna Peel,2022-09-06,Tesla Revealed As The Most Googled Stock Across The EU,"The global stock market is worth over $60 trillion, with the New York Stock Exchange being the largest stock exchange in the world, worth over $27 trillion alone, according to Statista.

Over 630,000 companies worldwide that have been traded on the stock exchange. A 2022 report by Statista reports that, the biggest stocks in the world by revenue are:

Q2 2022 hedge fund letters, conferences and more

However, what is the most popular stock in each country in the EU? Well, CMC Markets has revealed the most searched for stock in each EU country using Google search data, as well as how many monthly searches they receive on average.",Tesla Revealed As The Most Googled Stock Across The EU,"The global stock market worth $ 60 trillion , New York Stock Exchange largest stock exchange world , worth $ 27 trillion alone , according Statista . Over 630,000 companies worldwide traded stock exchange . A 2022 report Statista reports , biggest stocks world revenue : Q2 2022 hedge fund letters , conferences However , popular stock country EU ? Well , CMC Markets revealed searched stock EU country using Google search data , well many monthly searches receive average .",English,https://www.valuewalk.com/tesla-revealed-as-the-most-googled-stock-across-the-eu,,Unknown,Unknown,Unknwon
2,,2022-09-05,Verkaufs-Alarm bei Tesla? Das sagt der Chart!,"Kursverlust bei Tesla! Nach turbulenten Stunden mussten Tesla-Aktionäre einen Verlust von -0.42% hinnehmen. Der Abstand zum Allzeithoch vom 27.08.2020 und einem Kurs von 2,238.75 Euro steigt dabei auf 1,968.80 Euro. Die große Frage für Tesla-Aktionäre: Günstiger Einstieg oder Verkaufs-Alarm? 1,968.80 Euro Abstand zum Allzeithoch! Tesla heute noch kaufen? Sichern Sie sich GRATIS hier die umfangreiche Tesla Analyse von heute kostenlos. >>> Hier klicken ...Den vollständigen Artikel lesen ...TESLA-Aktie komplett kostenlos handeln - auf Smartbroker.",Verkaufs-Alarm bei Tesla ? Das sagt der Chart !,"Kursverlust bei Tesla ! Nach turbulenten Stunden mussten Tesla-Aktionäre einen Verlust von -0.42 % hinnehmen . Der Abstand zum Allzeithoch vom 27.08.2020 und einem Kurs von 2,238.75 Euro steigt dabei auf 1,968.80 Euro . Die große Frage für Tesla-Aktionäre : Günstiger Einstieg oder Verkaufs-Alarm ? 1,968.80 Euro Abstand zum Allzeithoch ! Tesla heute noch kaufen ? Sichern Sie sich GRATIS hier die umfangreiche Tesla Analyse von heute kostenlos . > > > Hier klicken ... Den vollständigen Artikel lesen ... TESLA-Aktie komplett kostenlos handeln - auf Smartbroker .",English,https://www.finanznachrichten.de/nachrichten-2022-09/56976928-verkaufs-alarm-bei-tesla-das-sagt-der-chart-136.htm,,Unknown,Unknown,Unknwon
3,Brian Potter,2022-09-06,Watch Tesla vehicle production and deliveries visualised in 3D,"Tesla is not only an EV pioneer but the world's largest battery-electric car manufacturer, which accustomed us to amazing and quite consistent growth. Here is a presentation of Tesla vehicle production and deliveries for each year since 2014, in a 3D real scale on a background of a large city. Tesla was started in 2003, while the first Tesla Roadster cars were delivered in 2008. That gives us glimpses of how significantly the company expanded, from just a few thousand units in 2012 to over 936,000 in 2021.",Watch Tesla vehicle production deliveries visualised 3D,"Tesla EV pioneer world 's largest battery-electric car manufacturer , accustomed us amazing quite consistent growth . Here presentation Tesla vehicle production deliveries year since 2014 , 3D real scale background large city . Tesla started 2003 , first Tesla Roadster cars delivered 2008 . That gives us glimpses significantly company expanded , thousand units 2012 936,000 2021 .",English,https://insideevs.com/news/608465/tesla-production-deliveries-visualized-3d/,,Unknown,Unknown,Unknwon
4,Fred Lambert,2022-09-05,Tesla prepares launch in Thailand with hiring spree,"Tesla is preparing to launch its electric vehicles in Thailand for the first time with a significant hiring spree. It has been a little while since Tesla has expanded into a brand-new market. The company was trying hard to enter the Indian market for years, but the effort was put on hold earlier this year after negotiations with the government stalled.
A few weeks later, we learned that Tesla's new market team turned its attention to Southeast Asia, and more specifically Thailand.
The automaker filed to register its product for sale in the country.",Tesla prepares launch Thailand hiring spree,"Tesla preparing launch electric vehicles Thailand first time significant hiring spree . It little since Tesla expanded brand-new market . The company trying hard enter Indian market years , effort put hold earlier year negotiations government stalled . A weeks later , learned Tesla 's new market team turned attention Southeast Asia , specifically Thailand . The automaker filed register product sale country .",English,https://electrek.co/2022/09/05/tesla-prepares-launch-in-thailand-with-hiring-spree/,,Unknown,Unknown,Unknwon
5,Mark Kane,2022-09-05,Watch Tesla Vehicle Production And Deliveries Visualized In 3D,"Tesla is not only an EV pioneer but the world's largest battery-electric car manufacturer, which accustomed us to amazing and quite consistent growth. Here is a presentation of Tesla vehicle production and deliveries for each year since 2014, in a 3D real scale on a background of a large city. Tesla was started in 2003, while the first Tesla Roadster cars were delivered in 2008. That gives us glimpses of how significantly the company expanded, from just a few thousand units in 2012 to over 936,000 in 2021.",Watch Tesla Vehicle Production And Deliveries Visualized In 3D,"Tesla EV pioneer world 's largest battery-electric car manufacturer , accustomed us amazing quite consistent growth . Here presentation Tesla vehicle production deliveries year since 2014 , 3D real scale background large city . Tesla started 2003 , first Tesla Roadster cars delivered 2008 . That gives us glimpses significantly company expanded , thousand units 2012 936,000 2021 .",English,https://insideevs.com/news/608465/tesla-production-deliveries-visualized-3d/,,Unknown,Unknown,Unknwon
6,Isaiah Richard,2022-09-06,"Elon Musk: Tesla Powerwall Only Available with Solar Bundle, Supply is Low But Coming Soon","Isaiah Richard, Tech Times 05 September 2022, 10:09 pm Elon Musk is advertising the Tesla Powerwall to the public, and it talks about the use of the clean energy power management system at home that provides 'blackout protection' for all. However, there is a catch now in purchasing the Powerwall, as Tesla requires a bundle purchase for it with the company's Solar Roof device as stocks are low for the home battery storage system. Elon Musk: Tesla Powerwall for Blackout Protection, Stocks Coming The world's top billionaire announced via his Twitter page that the Tesla Powerwall is a device that may help in blackout protection, especially during emergency situations.","Elon Musk : Tesla Powerwall Only Available Solar Bundle , Supply Low But Coming Soon","Isaiah Richard , Tech Times 05 September 2022 , 10:09 pm Elon Musk advertising Tesla Powerwall public , talks use clean energy power management system home provides 'blackout protection ' . However , catch purchasing Powerwall , Tesla requires bundle purchase company 's Solar Roof device stocks low home battery storage system . Elon Musk : Tesla Powerwall Blackout Protection , Stocks Coming The world 's top billionaire announced via Twitter page Tesla Powerwall device may help blackout protection , especially emergency situations .",English,https://www.techtimes.com/articles/280140/20220905/elon-musk-tesla-powerwall-available-solar-bundle-supply-low-coming.htm,,Unknown,Unknown,Unknwon
7,Fred Lambert,2022-09-06,"Tesla is still having issues ramping up 4680 battery cell production, report says","Tesla is still having some issues in ramping up production of its new 4680 battery cell and especially its dry-coating technology, according to an interesting albeit strange new report. Reuters is out today with a new report on Tesla's effort to ramp up production of its 4680 battery cell.
It's a bit difficult to determine the level of credibility of the report because Reuters is being a bit vague about its sources, only saying that it talked to '12 battery experts' with some of them having 'close ties to Tesla': 

Among the 12 battery experts Reuters spoke with, nine have close ties to Tesla and three of the nine have examined Tesla's new and old battery technology inside and out through teardowns.","Tesla still issues ramping 4680 battery cell production , report says","Tesla still issues ramping production new 4680 battery cell especially dry-coating technology , according interesting albeit strange new report . Reuters today new report Tesla 's effort ramp production 4680 battery cell . It 's bit difficult determine level credibility report Reuters bit vague sources , saying talked '12 battery experts ' 'close ties Tesla ' : Among 12 battery experts Reuters spoke , nine close ties Tesla three nine examined Tesla 's new old battery technology inside teardowns .",English,https://electrek.co/2022/09/06/tesla-having-issues-ramping-up-4680-battery-cell-production-report/,,Unknown,Unknown,Unknwon
8,Al Root,2022-09-05,Moody's Doesn't Want To Upgrade Tesla Debt Until This Happens.,"Patrick Pleul/POOL/AFP via Getty Images Shareholders of electric vehicle giant Tesla would probably like to see their company's debt upgraded from the speculative category into the ranks of investment grade companies. They might have to wait a little longer. A few days ago, an email exchange surfaced on Twitter (ticker: TWTR) between a Tesla shareholder and a former employee of Moody's employee, and the ratings agency. Barron's reviewed the email exchange. Moody's was urged to upgrade Tesla's debt given its recent strong financial position and cash flow generation, among other reasons.",Moody 's Does n't Want To Upgrade Tesla Debt Until This Happens .,"Patrick Pleul/POOL/AFP via Getty Images Shareholders electric vehicle giant Tesla would probably like see company 's debt upgraded speculative category ranks investment grade companies . They might wait little longer . A days ago , email exchange surfaced Twitter ( ticker : TWTR ) Tesla shareholder former employee Moody 's employee , ratings agency . Barron 's reviewed email exchange . Moody 's urged upgrade Tesla 's debt given recent strong financial position cash flow generation , among reasons .",English,https://www.barrons.com/articles/moodys-doesnt-want-to-upgrade-tesla-debt-51662387747,,Unknown,Unknown,Unknwon
9,Rahma Yuli,2022-09-05,"Diperkirakan, Microchip Tesla Lebih Pintar dari Otak Manusia","Mobil Tesla (Foto: Istimewa) Deli.Suara.com – Sebuah studi baru oleh perusahaan leasing, Vanarama mengungkapkan, pada 2023 nanti, mobil Tesla akan lebih pintar lagi, bahkan lebih dari manusia. Saat ini, satu mobil Tesla menggunakan beberapa chip dan microchip dengan kekuatan pemrosesan yang kuat. Namun, inovasi Tesla tampaknya tidak akan berhenti di microchip yang sekadar kuat. Menurut laporan terbaru, pengembangan microchip Tesla akan mencapai level tertinggi dalam beberapa tahun mendatang. Vanarama menganalisis kekuatan pemrosesan microchip Tesla dan menemukan microchip Tesla akan melampaui otak manusia (1 kuadriliun operasi per detik) dalam 11 tahun, tepatnya 2033.","Diperkirakan , Microchip Tesla Lebih Pintar dari Otak Manusia","Mobil Tesla ( Foto : Istimewa ) Deli.Suara.com – Sebuah studi baru oleh perusahaan leasing , Vanarama mengungkapkan , pada 2023 nanti , mobil Tesla akan lebih pintar lagi , bahkan lebih dari manusia . Saat ini , satu mobil Tesla menggunakan beberapa chip dan microchip dengan kekuatan pemrosesan yang kuat . Namun , inovasi Tesla tampaknya tidak akan berhenti di microchip yang sekadar kuat . Menurut laporan terbaru , pengembangan microchip Tesla akan mencapai level tertinggi dalam beberapa tahun mendatang . Vanarama menganalisis kekuatan pemrosesan microchip Tesla dan menemukan microchip Tesla akan melampaui otak manusia ( 1 kuadriliun operasi per detik ) dalam 11 tahun , tepatnya 2033 .",English,https://deli.suara.com/read/2022/09/05/153844/diperkirakan-microchip-tesla-lebih-pintar-dari-otak-manusia,,Unknown,Unknown,Unknwon
