,Author,Published Date,Title,Text,Title_without_stopwords,Text_without_stopwords,Language,Site_url,Main_img_url,Type,Label,hasImage,camefrom
0,Democratic Senatorial Campaign Committee,2022-10-4,"Herschel Walker misled about ¡°personally treating 4,500 veterans per year,¡± about ¡°graduating from college¡± and about ¡°working in law enforcement.¡±",Unavailable,"Herschel Walker misled ¡° personally treating 4,500 veterans per year , ¡± ¡° graduating college ¡± ¡° working law enforcement . ¡±",Unavailable,English,https://www.politifact.com/factchecks/2022/oct/04/democratic-senatorial-campaign-committee/did-herschel-walker-misrepresent-his-record-vetera/,,Unknown,Real,FALSE,politifact
1,Facebook posts,4--October,2018 interview shows Bill Gates has changed his position on clean energy,Unavailable,2018 interview shows Bill Gates changed position clean energy,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/04/facebook-posts/gates-comments-renewable-energy-taken-out-context/,,Unknown,Fake,FALSE,politifact
2,Tim Ryan,2022-10-4,¡°I voted with Trump on trade.¡±,Unavailable,¡° I voted Trump trade . ¡±,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/04/tim-ryan/ohios-tim-ryan-says-he-voted-trump-trade-what-abou/,,Unknown,Real,FALSE,politifact
3,Facebook posts,2022-10-4,Video shows Rand Paul telling Nancy Pelosi ¡°she¡¯s a traitor.¡±,Unavailable,Video shows Rand Paul telling Nancy Pelosi ¡° ¡¯ traitor . ¡±,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/04/facebook-posts/rand-paul-didnt-tell-nancy-pelosi-shes-traitor-vid/,,Unknown,Fake,FALSE,politifact
4,Ron DeSantis,2022-10-4,"Lee County, Florida, wasn't ""even in the cone"" of Hurricane Ian 72 hours before landfall.",Unavailable,"Lee County , Florida , n't `` even cone '' Hurricane Ian 72 hours landfall .",Unavailable,English,https://www.politifact.com/factchecks/2022/oct/04/ron-desantis/most-floridas-lee-county-wasnt-cone-three-days-hur/,,Unknown,Fake,FALSE,politifact
5,Viral image,2022-10-4,A 1956 video warned about COVID-19.,Unavailable,A 1956 video warned COVID-19 .,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/04/viral-image/isnt-prescient-psa-1950s-its-satire-2020/,,Unknown,Fake,FALSE,politifact
6,J.D. Vance,2022-10-4,Tim Ryan said ¡°I do love¡± Nancy Pelosi and votes with Joe Biden and Pelosi 100%.,Unavailable,Tim Ryan said ¡° I love ¡± Nancy Pelosi votes Joe Biden Pelosi 100 % .,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/04/jd-vance/whats-love-got-do-it-ad-shows-ryans-support-pelosi/,,Unknown,Real,FALSE,politifact
7,Restoration PAC,2022-10-4,"Says Mandela Barnes supports killing ¡°preemies¡± ? ¡°infants born prior to 37 weeks of pregnancy""",Unavailable,Says Mandela Barnes supports killing ¡° preemies ¡± ? ¡° infants born prior 37 weeks pregnancy '',Unavailable,English,https://www.politifact.com/factchecks/2022/oct/04/restoration-pac/no-mandela-barnes-doesnt-support-killing-babies-bo/,,Unknown,Fake,FALSE,politifact
8,Instagram posts,2022-10-3,"""Florida schools (were) still open during the start of the hurricane.""",Unavailable,`` Florida schools ( ) still open start hurricane . '',Unavailable,English,https://www.politifact.com/factchecks/2022/oct/03/instagram-posts/florida-public-schools-were-closed-during-hurrican/,,Unknown,Fake,FALSE,politifact
9,Viral image,2022-10-3,"Joe Biden said of Jill Biden, ¡°She was 12, I was 30.¡±",Unavailable,"Joe Biden said Jill Biden , ¡° She 12 , I 30 . ¡±",Unavailable,English,https://www.politifact.com/factchecks/2022/oct/03/viral-image/no-biden-didnt-say-he-met-jill-biden-when-she-was-/,,Unknown,Fake,FALSE,politifact
10,Rick Scott,2022-10-3,"Kamala Harris said about Hurricane Ian that ¡°if you have a different skin color, you're going to get relief faster.¡±",Unavailable,"Kamala Harris said Hurricane Ian ¡° different skin color , 're going get relief faster . ¡±",Unavailable,English,https://www.politifact.com/factchecks/2022/oct/03/rick-scott/no-kamala-harris-didnt-say-hurricane-ian-relief-wo/,,Unknown,Fake,FALSE,politifact
11,Viral image,2022-10-3,"A Stockton, California, council member said ¡°there¡¯s a serial killer in Stockton.¡±",Unavailable,"A Stockton , California , council member said ¡° ¡¯ serial killer Stockton . ¡±",Unavailable,English,https://www.politifact.com/factchecks/2022/oct/03/viral-image/no-stockton-california-council-member-didnt-say-th/,,Unknown,Fake,FALSE,politifact
12,West Virginia Republican Party,2022-10-3,¡°More fentanyl has crossed the border in the last two months under Biden than in 2019 under Trump.¡±,Unavailable,¡° More fentanyl crossed border last two months Biden 2019 Trump . ¡±,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/03/west-virginia-republican-party/fact-checking-how-much-fentanyl-coming-us/,,Unknown,Real,FALSE,politifact
13,Alex Mooney,2022-10-3,"¡°There have now been 16 straight months of OVER 150,000 illegal border crossings.¡±",Unavailable,"¡° There 16 straight months OVER 150,000 illegal border crossings . ¡±",Unavailable,English,https://www.politifact.com/factchecks/2022/oct/03/alex-mooney/fact-checking-current-scale-us-mexico-border-cross/,,Unknown,Real,FALSE,politifact
14,Instagram posts,2022-9-30,Hurricane Ian was orchestrated as part of a pandemic-related conspiracy to devastate Floridians.,Unavailable,Hurricane Ian orchestrated part pandemic-related conspiracy devastate Floridians .,Unavailable,English,https://www.politifact.com/factchecks/2022/sep/30/instagram-posts/hurricane-ian-was-natural-disaster-not-political-c/,,Unknown,Fake,FALSE,politifact
15,Instagram posts,2022-9-30,¡°There are giant human caucasian skeletons in Ohio that predate any known civilizations.¡±,Unavailable,¡° There giant human caucasian skeletons Ohio predate known civilizations . ¡±,Unavailable,English,https://www.politifact.com/factchecks/2022/sep/30/instagram-posts/no-bones-about-it-persistent-rumors-giant-remains-/,,Unknown,Fake,FALSE,politifact
16,Herschel Walker,2022-9-30,"Raphael Warnock ""called police thugs, then cut their funding.""",Unavailable,"Raphael Warnock `` called police thugs , cut funding . ''",Unavailable,English,https://www.politifact.com/factchecks/2022/sep/30/herschel-walker/misleading-claim-raphael-warnock-called-police-thu/,,Unknown,Fake,FALSE,politifact
17,Instagram posts,2022-9-30,¡°CDC says 60% of Americans have parasites.¡±,Unavailable,¡° CDC says 60 % Americans parasites . ¡±,Unavailable,English,https://www.politifact.com/factchecks/2022/sep/30/instagram-posts/misleading-video-cites-cdc-report-doesnt-support-c/,,Unknown,Fake,FALSE,politifact
18,Facebook posts,2022-9-30,President Joe Biden admitted having an inappropriate relationship with a minor.,Unavailable,President Joe Biden admitted inappropriate relationship minor .,Unavailable,English,https://www.politifact.com/factchecks/2022/sep/30/facebook-posts/no-biden-did-not-admit-he-had-inappropriate-relati/,,Unknown,Fake,FALSE,politifact
19,Yuh-Line Niou,2022-9-30,Sen. Marco Rubio and U.S. Rep. Ron DeSantis ¡°voted against aid for Hurricane Sandy.¡±,Unavailable,Sen. Marco Rubio U.S. Rep. Ron DeSantis ¡° voted aid Hurricane Sandy . ¡±,Unavailable,English,https://www.politifact.com/factchecks/2022/sep/30/yuh-line-niou/did-rubio-and-desantis-vote-against-hurricane-sand/,,Unknown,Real,FALSE,politifact
20,Facebook posts,2022-9-30,¡°The Russian army has surrendered in Donetsk!¡±,Unavailable,¡° The Russian army surrendered Donetsk ! ¡±,Unavailable,English,https://www.politifact.com/factchecks/2022/sep/30/facebook-posts/no-proof-russian-troops-have-surrendered-donetsk/,,Unknown,Fake,FALSE,politifact
21,Adrian Fontes,2022-9-30,Mark Finchem ¡°wants to strip Arizona¡¯s citizens of their capacity to vote by mail.¡±,Unavailable,Mark Finchem ¡° wants strip Arizona ¡¯ citizens capacity vote mail . ¡±,Unavailable,English,https://www.politifact.com/factchecks/2022/sep/30/adrian-fontes/republican-arizona-secretary-state-candidate-aims-/,,Unknown,Real,FALSE,politifact
22,Instagram posts,2022-9-30,"¡°America now has a government that forbids border agents from using deadly force, but is training IRS agents to use SWAT-team tactics on law-abiding citizens.¡±",Unavailable,"¡° America government forbids border agents using deadly force , training IRS agents use SWAT-team tactics law-abiding citizens . ¡±",Unavailable,English,https://www.politifact.com/factchecks/2022/sep/30/instagram-posts/instagram-post-gets-facts-wrong-about-use-deadly-f/,,Unknown,Fake,FALSE,politifact
23,Mandela Barnes,2022-9-30,"""Ron Johnson has voted against funding for law enforcement and recently opposed a plan to recruit and train new officers """,Unavailable,`` Ron Johnson voted funding law enforcement recently opposed plan recruit train new officers ``,Unavailable,English,https://www.politifact.com/factchecks/2022/sep/30/mandela-barnes/barnes-team-misfires-claim-johnson-voted-against-l/,,Unknown,Fake,FALSE,politifact
24,Ted Nugent,2022-9-30,Michigan¡¯s Proposal 2 ¡°will permanently put in the Constitution that you never have to show an ID to vote ever again.¡±,Unavailable,Michigan ¡¯ Proposal 2 ¡° permanently put Constitution never show ID vote ever . ¡±,Unavailable,English,https://www.politifact.com/factchecks/2022/sep/30/ted-nugent/michigans-proposal-2-doesnt-end-states-voter-id-re/,,Unknown,Fake,FALSE,politifact
25,Instagram posts,2022-9-29,Father danced for his daughter at her grave after she was killed during recent protests in Iran.,Unavailable,Father danced daughter grave killed recent protests Iran .,Unavailable,English,https://www.politifact.com/factchecks/2022/sep/29/instagram-posts/video-does-not-show-2022-funeral-iran-its-been-cir/,,Unknown,Fake,FALSE,politifact
26,Facebook posts,2022-9-29,"¡°North Korea sent more than 100,000 troops to Russia for the Ukraine War!¡±",Unavailable,"¡° North Korea sent 100,000 troops Russia Ukraine War ! ¡±",Unavailable,English,https://www.politifact.com/factchecks/2022/sep/29/facebook-posts/north-korean-soldiers-have-not-been-sent-russia-he/,,Unknown,Fake,FALSE,politifact
27,National Republican Senatorial Committee,2022-9-29,"Sen. Raphael Warnock ""voted with Biden to slash Medicare spending.¡±",Unavailable,Sen. Raphael Warnock `` voted Biden slash Medicare spending . ¡±,Unavailable,English,https://www.politifact.com/factchecks/2022/sep/29/national-republican-senatorial-committee/democratic-bill-didnt-slash-medicare-spending-it-w/,,Unknown,Fake,FALSE,politifact
28,Instagram posts,2022-9-29,"""Walrus seen on Florida streets after Hurricane Ian hits land.""",Unavailable,`` Walrus seen Florida streets Hurricane Ian hits land . '',Unavailable,English,https://www.politifact.com/factchecks/2022/sep/29/instagram-posts/video-escaped-seal-chile-2020-not-post-hurricane-i/,,Unknown,Fake,FALSE,politifact
29,Facebook posts,2022-9-29,"""The true meaning of Hurricane,"" or Her-ricane, is the spirit of ""the African woman who has been stolen.""",Unavailable,"`` The true meaning Hurricane , '' Her-ricane , spirit `` African woman stolen . ''",Unavailable,English,https://www.politifact.com/factchecks/2022/sep/29/facebook-posts/word-hurricane-came-indigenous-people-caribbean/,,Unknown,Fake,FALSE,politifact
30,Andrew Stanton,2022-10-03,Ukraine diplomat aims 4-letter blast at Elon Musk's Russia peace proposal,"News
Russia-Ukraine War
Ukraine Conflict
Elon Musk
Peace Ukrainian diplomat Andrij Melnyk had a pointed response to Elon Musk after the billionaire made a peace proposal for Ukraine and Russia on Monday to end the seven-month war.Musk suggested that recent referendums held by Russia on whether to annex four regions of Ukraine, including the Donbas?which have been dismissed by the West as a sham, rigged election?should be redone under the supervision of the United Nations and that Russia should leave Ukraine ""if that is will of the people.",Ukraine diplomat aims 4-letter blast Elon Musk 's Russia peace proposal,"News Russia-Ukraine War Ukraine Conflict Elon Musk Peace Ukrainian diplomat Andrij Melnyk pointed response Elon Musk billionaire made peace proposal Ukraine Russia Monday end seven-month war.Musk suggested recent referendums held Russia whether annex four regions Ukraine , including Donbas?which dismissed West sham , rigged election?should redone supervision United Nations Russia leave Ukraine `` people .",English,https://www.newsweek.com/ukraine-diplomat-aims-4-letter-blast-elon-musks-russia-peace-proposal-1748488,,Unknown,Unknown,FALSE,newsCatcher
31,FP Staff,2022-10-04,"Russia-Ukraine War: 31 Russian tanks destroyed in Donetsk, claim Ukrainian forces","World Ukrainian President Volodymyr Zelensky has claimed that several small settlements in the Kherson region of Ukraine have been liberated from Russia Russia-Ukraine War: The war between Ukraine and Russia, which has been going on for 7 months now, is not showing signs of stopping anytime soon. Meanwhile, Ukrainian forces claim to have recaptured several areas occupied by Russia.
Ukrainian officials have claimed that Ukrainian forces completely destroyed 31 Russian tanks and a multiple rocket launcher in the south of Ukraine.","Russia-Ukraine War : 31 Russian tanks destroyed Donetsk , claim Ukrainian forces","World Ukrainian President Volodymyr Zelensky claimed several small settlements Kherson region Ukraine liberated Russia Russia-Ukraine War : The war Ukraine Russia , going 7 months , showing signs stopping anytime soon . Meanwhile , Ukrainian forces claim recaptured several areas occupied Russia . Ukrainian officials claimed Ukrainian forces completely destroyed 31 Russian tanks multiple rocket launcher south Ukraine .",English,https://www.firstpost.com/world/russia-ukraine-war-31-russian-tanks-destroyed-in-donetsk-claim-ukrainian-forces-11386081.html,,Unknown,Unknown,FALSE,newsCatcher
32,Sin?ad Baker,2022-10-03,Ukraine said it retook more eastern territory ? leaving Russia with less control over the regions it is trying to annex,"Ukrainian servicemen ride an amphibious armoured personnel carrier as they drive out of Bakhmut, Donetsk region, in eastern Ukraine, on September 7, 2022. REUTERS/Ammar Awad

Zelenskyy said Sunday that Ukraine retook some territory from Russia in the Kherson region.

Ukraine's counteroffensive means Russia does not occupy all of the four regions it wants to annex.

Russia did not completely take over some of the regions, and Ukraine has retaken land in all of them.

Ukraine said it has taken back more territory in the east of the country from Russian troops, leaving Moscow with even less control over the four regions that it is trying to annex.",Ukraine said retook eastern territory ? leaving Russia less control regions trying annex,"Ukrainian servicemen ride amphibious armoured personnel carrier drive Bakhmut , Donetsk region , eastern Ukraine , September 7 , 2022 . REUTERS/Ammar Awad Zelenskyy said Sunday Ukraine retook territory Russia Kherson region . Ukraine 's counteroffensive means Russia occupy four regions wants annex . Russia completely take regions , Ukraine retaken land . Ukraine said taken back territory east country Russian troops , leaving Moscow even less control four regions trying annex .",English,https://news.yahoo.com/ukraine-said-retook-more-eastern-131955370.html,,Unknown,Unknown,FALSE,newsCatcher
33,Muhittin Ataman,2022-10-04,Dangerous escalation in the Ukraine-Russia War after annexation,"The two most recent developments in Ukraine have initiated a new phase in the seven-month war. First, Russia declared partial military mobilization on Sept. 21. According to the decree, the Russian government will call up 300,000 reservists from Russian citizens between 18 and 50 years old. It was claimed that the mobilization was declared to control the occupied territories by the Russian army or the Russian-backed forces. The second development was the Russian declaration of the annexation of four Ukrainian provinces, namely Donetsk, Luhansk, Kherson and Zaporizhzhia, after the completion of the so-called referendums organized on Sept.",Dangerous escalation Ukraine-Russia War annexation,"The two recent developments Ukraine initiated new phase seven-month war . First , Russia declared partial military mobilization Sept. 21 . According decree , Russian government call 300,000 reservists Russian citizens 18 50 years old . It claimed mobilization declared control occupied territories Russian army Russian-backed forces . The second development Russian declaration annexation four Ukrainian provinces , namely Donetsk , Luhansk , Kherson Zaporizhzhia , completion so-called referendums organized Sept .",English,https://www.dailysabah.com/opinion/columns/dangerous-escalation-in-the-ukraine-russia-war-after-annexation,,Unknown,Unknown,FALSE,newsCatcher
34,,2022-10-03,Ukraine said it retook more eastern territory ? leaving Russia with less control over the regions it is trying to annex,"? REUTERS/Ammar Awad Ukrainian servicemen ride an amphibious armoured personnel carrier as they drive out of Bakhmut, Donetsk region, in eastern Ukraine, on September 7, 2022. REUTERS/Ammar Awad

Zelenskyy said Sunday that Ukraine retook some territory from Russia in the Kherson region.

Ukraine's counteroffensive means Russia does not occupy all of the four regions it wants to annex.

Russia did not completely take over some of the regions, and Ukraine has retaken land in all of them.









Ad Microsoft









Full screen 1/9 SLIDES ? AP Photo How the Kremlin is trying to make Ukrainian towns Russian, from installing puppet leaders to flying Soviet flags 2/9 SLIDES ? AP Photo Russia has begun installing its flags in besieged Ukrainian cities.",Ukraine said retook eastern territory ? leaving Russia less control regions trying annex,"? REUTERS/Ammar Awad Ukrainian servicemen ride amphibious armoured personnel carrier drive Bakhmut , Donetsk region , eastern Ukraine , September 7 , 2022 . REUTERS/Ammar Awad Zelenskyy said Sunday Ukraine retook territory Russia Kherson region . Ukraine 's counteroffensive means Russia occupy four regions wants annex . Russia completely take regions , Ukraine retaken land . Ad Microsoft Full screen 1/9 SLIDES ? AP Photo How Kremlin trying make Ukrainian towns Russian , installing puppet leaders flying Soviet flags 2/9 SLIDES ? AP Photo Russia begun installing flags besieged Ukrainian cities .",English,http://www.msn.com/en-us/news/world/ukraine-said-it-retook-more-eastern-territory-%E2%80%94-leaving-russia-with-less-control-over-the-regions-it-is-trying-to-annex/ar-AA12xmy8,,Unknown,Unknown,FALSE,newsCatcher
35,,2022-10-03,Belarus TV Guest Hits Back After Being Told Country Is 'Part of Russia',"A Russian State TV guest was corrected by a Belarus guest in a tense moment that has now gone viral on social media. Dmitry Sablin, the deputy chairman of the Defense Committee, gave a monologue about where he feels Russia is currently in its war with Ukraine before speaking about Belarus. The video so far has more than 200,000 views and The Daily Beast's Julia Davis said it showed the mood is grim in Russia. Tonight on Russian state TV: the mood is grim, look at their faces. Dmitry Sablin, Deputy Chairman of the Defense Committee, admits that Russia desperately needs ""to stop and regroup"" and is experiencing all sorts of shortages, compared to Ukraine that has it all ?and then some.",Belarus TV Guest Hits Back After Being Told Country Is 'Part Russia ',"A Russian State TV guest corrected Belarus guest tense moment gone viral social media . Dmitry Sablin , deputy chairman Defense Committee , gave monologue feels Russia currently war Ukraine speaking Belarus . The video far 200,000 views The Daily Beast 's Julia Davis said showed mood grim Russia . Tonight Russian state TV : mood grim , look faces . Dmitry Sablin , Deputy Chairman Defense Committee , admits Russia desperately needs `` stop regroup '' experiencing sorts shortages , compared Ukraine ?and .",English,https://www.newsweek.com/belarus-russia-state-tv-ukraine-part-country-unification-update-war-conflict-1748256,,Unknown,Unknown,FALSE,newsCatcher
36,BBC,2022-10-04,Zelensky and Musk in row over Ukraine 'peace plan poll',"Ukrainian President Volodymyr Zelenskyy speaks with the recently exchanged Ukrainian prisoners on September 21, 2022.

Ukraine President Volodymyr Zelensky has hit back at Elon Musk after the Tesla boss posted a Twitter poll with his suggestions for ending Russia's invasion.

Mr Musk asked his 107.7m followers to vote on ideas that included ceding territory to Russia.

In response Mr Zelensky posted his own poll asking users if they liked the world's richest person more when he supported Ukraine.",Zelensky Musk row Ukraine 'peace plan poll ',"Ukrainian President Volodymyr Zelenskyy speaks recently exchanged Ukrainian prisoners September 21 , 2022 . Ukraine President Volodymyr Zelensky hit back Elon Musk Tesla boss posted Twitter poll suggestions ending Russia 's invasion . Mr Musk asked 107.7m followers vote ideas included ceding territory Russia . In response Mr Zelensky posted poll asking users liked world 's richest person supported Ukraine .",English,https://finance.yahoo.com/news/zelensky-musk-row-over-ukraine-033120032.html,,Unknown,Unknown,FALSE,newsCatcher
