,Author,Published Date,Title,Text,Title_without_stopwords,Text_without_stopwords,Language,Site_url,Main_img_url,Type,Label,hasImage,camefrom
0,Republican Governors Association,2022-9-9,Says President Joe Biden “recently said that 48.8% of Wisconsin voters are threats to democracy.”,Unavailable,Says President Joe Biden “ recently said 48.8 % Wisconsin voters threats democracy . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/09/republican-governors-association/no-biden-didnt-say-nearly-half-wisconsin-voters-ar/,,Unknown,Fake,False,politifact
1,Instagram posts,2022-9-9,Video shows Hillary Clinton dressed as a space cult leader in a satanic ritual.,Unavailable,Video shows Hillary Clinton dressed space cult leader satanic ritual .,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/09/instagram-posts/video-hillary-clinton-party-mischaracterized-onlin/,,Unknown,Fake,False,politifact
2,Vladimir Putin,2022-9-9,Russia “has not lost anything” in its invasion of Ukraine.,Unavailable,Russia “ lost anything ” invasion Ukraine .,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/09/vladimir-putin/despite-putins-claim-russia-has-lost-plenty-ukrain/,,Unknown,Fake,False,politifact
3,Viral image,2022-9-8,Video shows there weren’t Marines present during a recent speech by Joe Biden.,Unavailable,Video shows ’ Marines present recent speech Joe Biden .,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/08/viral-image/no-video-doesnt-prove-there-werent-marines-bidens-/,,Unknown,Fake,False,politifact
4,Facebook posts,2022-9-8,“The Russian army is withdrawing from Ukraine!” in September 2022,Unavailable,“ The Russian army withdrawing Ukraine ! ” September 2022,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/08/facebook-posts/no-russia-not-withdrawing-ukraine/,,Unknown,Fake,False,politifact
5,Jim Marchant,2022-9-8,"“Here in Nevada, the DMV registers everybody (to vote) and so that means illegals. They don’t check.”",Unavailable,"“ Here Nevada , DMV registers everybody ( vote ) means illegals . They ’ check . ”",Unavailable,English,https://www.politifact.com//factchecks/2022/sep/08/jim-marchant/nevada-republican-misleads-about-dmv-registering-i/,,Unknown,Fake,False,politifact
6,TikTok posts,2022-9-8,Executive Order 14067 will allow the federal government to “turn on and turn off your money.”,Unavailable,Executive Order 14067 allow federal government “ turn turn money . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/08/tiktok-posts/executive-order-14067-does-not-allow-federal-gover/,,Unknown,Fake,False,politifact
7,Tweets,2022-9-8,Queen Elizabeth died because of the COVID-19 vaccine.,Unavailable,Queen Elizabeth died COVID-19 vaccine .,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/08/tweets/claims-queen-elizabeth-died-because-covid-19-vacci/,,Unknown,Fake,False,politifact
8,Facebook posts,2022-9-8,"""FEC charges (Beto O'Rourke's 2018 campaign) Illegal Campaign Contributions.""",Unavailable,`` FEC charges ( Beto O'Rourke 's 2018 campaign ) Illegal Campaign Contributions . '',Unavailable,English,https://www.politifact.com//factchecks/2022/sep/08/facebook-posts/federal-election-commission-has-civil-not-criminal/,,Unknown,Fake,False,politifact
9,Facebook posts,2022-9-8,"“With the combined salary of the 87,000 new IRS Agents ($81,456 average annual salary), you could put a police officer ($55,117) in every public school in the nation (97,568) and still have 31,007 police officers or $1,709,012,819 left over.”",Unavailable,"“ With combined salary 87,000 new IRS Agents ( $ 81,456 average annual salary ) , could put police officer ( $ 55,117 ) every public school nation ( 97,568 ) still 31,007 police officers $ 1,709,012,819 left . ”",Unavailable,English,https://www.politifact.com//factchecks/2022/sep/08/facebook-posts/inaccurate-data-fuels-false-conclusion-about-money/,,Unknown,Fake,False,politifact
10,Viral image,2022-9-8,“Naomi Biden says Joe Biden died four years ago.”,Unavailable,“ Naomi Biden says Joe Biden died four years ago . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/08/viral-image/no-isnt-video-joe-bidens-granddaughter-saying-he-d/,,Unknown,Fake,False,politifact
11,J.D. Vance,2022-9-8,“Tim Ryan called police the new Jim Crow.”,Unavailable,“ Tim Ryan called police new Jim Crow . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/08/jd-vance/jd-vance-distorts-tim-ryans-words-police-race/,,Unknown,Fake,False,politifact
12,Viral image,2022-9-7,Video shows Joe Biden has a body double.,Unavailable,Video shows Joe Biden body double .,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/07/viral-image/no-video-doesnt-prove-biden-has-body-double/,,Unknown,Fake,False,politifact
13,Bloggers,2022-9-7,“The U.S. & Elon Musk reveal new hypersonic jet to help Ukraine.”,Unavailable,“ The U.S. & Elon Musk reveal new hypersonic jet help Ukraine . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/07/blog-posting/claim-musk-will-supply-hypersonic-jet-ukrainian-wa/,,Unknown,Fake,False,politifact
14,Instagram posts,2022-9-7,The National Institutes of Health “adds ivermectin to list of COVID approved treatments.”,Unavailable,The National Institutes Health “ adds ivermectin list COVID approved treatments . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/07/instagram-posts/no-nih-doesnt-recommend-using-ivermectin-treat-cov/,,Unknown,Fake,False,politifact
15,Raphael Warnock,2022-9-7,The child tax credit passed under President Joe Biden “has helped 97% of the families with children who are living in poverty.”,Unavailable,The child tax credit passed President Joe Biden “ helped 97 % families children living poverty . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/07/raphael-warnock/raphael-warnock-exaggerates-success-rate-reaching-/,,Unknown,Real,False,politifact
16,Instagram posts,2022-9-7,There’s an unlimited supply of water being generated “deep within the Earth.”,Unavailable,There ’ unlimited supply water generated “ deep within Earth . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/07/instagram-posts/no-there-isnt-unlimited-supply-water-being-made-un/,,Unknown,Fake,False,politifact
17,Facebook posts,2022-9-7,President Joe Biden “employed actors to portray Marine guards” during a Sept. 1 speech.,Unavailable,President Joe Biden “ employed actors portray Marine guards ” Sept. 1 speech .,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/07/facebook-posts/no-biden-didnt-hire-actors-pose-us-marines/,,Unknown,Fake,False,politifact
