,author,title,description,url,urlToImage,publishedAt,content,status,totalResults,id,name
0,Anna Skinner,"California Wildfires, Blackout Fears Create Conflict for Electric Car Users",Cal Fire urges residents to prioritize their lives over conserving energy.,https://www.newsweek.com/california-wildfires-blackout-fears-create-conflict-electric-car-users-1740352,https://d.newsweek.com/en/full/2110898/wildfire-evacuations-are-place-california.jpg,2022-09-06T17:28:53Z,"Electric vehicle owners are caught in confusion as conflicting reports of energy conservation requests and wildfire evacuation warnings sweep California.
Newsweek reported last week that much of sou… [+3539 chars]",ok,326,newsweek,Newsweek
1,Christiaan Hetzner,"Elon Musk told Trump to sail into the sunset, now the former President tells supporters it’s time to get rid of electric cars in Pennsylvania rally rant","Facing increasing pressure from Florida governor Ron DeSantis, supported by the billionaire CEO, Trump took aim at Biden's recent EV subsidies.",https://fortune.com/2022/09/05/donald-trump-electric-car-rant-pennsylvania-rally-shot-at-elon-musk-tesla-joe-biden/,"https://content.fortune.com/wp-content/uploads/2022/09/GettyImages-1242931015-e1662384817818.jpg?resize=1200,600",2022-09-05T13:34:40Z,"In his first comments since the FBI raid on his Mar-a-Lago compound, Donald Trump took aim at electric vehicles in a speech over the weekend that managed to attack two of his main opponentsrising Rep… [+5512 chars]",ok,326,fortune,Fortune
2,Patrick Campanale,"Foldable solar panel with 20A power station charger, more now $140 in New Green Deals","With fall on the horizon, you might be planning some outdoor adventures with the family. If those trips plan to take you off-grid for an extended period of time, then be sure to have in the trunk in case it’s needed. With a built-in 20A LCD solar charge contr…",https://electrek.co/2022/09/06/foldable-solar-panel-charge-controller-more-new-green-deals/,https://i0.wp.com/electrek.co/wp-content/uploads/sites/3/2022/09/foldable-solar-panel-ecoworthy.jpg?resize=1200%2C628&quality=82&strip=all&ssl=1,2022-09-06T17:53:42Z,"With fall on the horizon, you might be planning some outdoor adventures with the family. If those trips plan to take you off-grid for an extended period of time, then be sure to have this 120W foldab… [+6406 chars]",ok,326,,Electrek
3,Christopher Lange,How Many People Were Born the Year You Were Born,"At the forefront of issues that face humanity, many would rank climate change and overpopulation as perhaps some of the biggest existential threats. However, there are some, including Tesla CEO Elon Musk, who would disagree Earth cannot sustain population gro…",https://247wallst.com/special-report/2022/09/04/how-many-people-were-born-the-year-you-were-born-6/,https://247wallst.com/wp-content/uploads/2022/08/imageForEntry19-BaV.jpg,2022-09-04T20:00:38Z,"At the forefront of issues that face humanity, many would rank climate change and overpopulation as perhaps some of the biggest existential threats. However, there are some, including Tesla CEO Elon … [+1878 chars]",ok,326,,24/7 Wall St.
4,,"Indian Gautam Adani's rise to world's third-richest came as stock jumps topped 1,000%","His Adani Green and Adani Total Gas trade at more than 750 times profit, far higher than Elon Musk’s Tesla or Jeff Bezos’s Amazon.",https://www.channelnewsasia.com/business/india-gautam-adani-third-richest-billionaire-bezos-musk-2922926,"https://onecms-res.cloudinary.com/image/upload/s--YG2Ax30K--/fl_relative,g_south_east,l_one-cms:core:watermark:afp_watermark,w_0.1/f_auto,q_auto/c_fill,g_auto,h_676,w_1200/v1/one-cms/core/46ca819dd41f0c46407ed2bf7577aca3d3646855.jpg?itok=L6ALDku6",2022-09-06T08:33:58Z,"Judging by the stock market, Adanis moves have been wildly successful.
Shares in some of his companies have climbed more than 1,000 per cent since 2020. That compares with a 44 per cent advance for … [+2105 chars]",ok,326,,CNA
5,https://www.facebook.com/bbcnews,UK firm takes on Apple iPhone14 and Elon Musk with satellite phone,"Bullitt, which makes rugged smartphones, is due to launch a satellite-connected handset in February.",https://www.bbc.co.uk/news/technology-62796363,https://ichef.bbci.co.uk/news/1024/branded_news/CC7D/production/_126594325_bullitt-services-header-01-min-1.png,2022-09-06T00:41:54Z,"By Zoe KleinmanTechnology editor
A British smartphone maker hopes to steal a march on Apple and Tesla boss Elon Musk with a new satellite-connected handset, the BBC has learned.
If there is no wi-f… [+2921 chars]",ok,326,bbc-news,BBC News
6,Alexis Keenan,"Bed Bath & Beyond lawsuit, Twitter-Musk hearing, and Meta fine: Legal stories to watch",Here are the biggest legal stories Yahoo Finance is watching this week.,https://finance.yahoo.com/news/bed-bath-beyond-twitter-musk-and-meta-fine-legal-stories-to-watch-182141141.html,https://s.yimg.com/ny/api/res/1.2/gCTXv.Sgak3fhwoYrKDc4Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03OTk-/https://s.yimg.com/os/creatr-uploaded-images/2022-08/214bc7d0-2807-11ed-bbfd-041562c4885a,2022-09-06T18:21:41Z,"During this holiday-shortened week, Yahoo Finance is watching a courtroom battle that will set the stage for Elon Musk's counterclaims against Twitter (TWTR) in the Tesla (TSLA) CEO's fight to escape… [+5208 chars]",ok,326,,Yahoo Entertainment
7,Akiko Fujita,"'We don’t have enough' lithium globally to meet EV targets, mining CEO says","One miner warned that domestic resources for lithium, the most critical mineral used for electric vehicle production, may not be sufficient enough to meet...",https://finance.yahoo.com/news/lithium-supply-ev-targets-miner-181513161.html,https://s.yimg.com/ny/api/res/1.2/kWL80O4s1pv6DmmhItuMdg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2022-08/dd78a670-2af1-11ed-bfee-40a901ec3bd5,2022-09-05T18:15:13Z,"Climate provisions in the Inflation Reduction Act put the U.S. back on track toward significant emissions reductions, potentially reducing greenhouse gas output by 40% of 2005 levels.
But one miner … [+4654 chars]",ok,326,,Yahoo Entertainment
8,Braden Bjella,"‘They annoyed me’: Former Starbucks worker says he would end ‘pay it forward’ chains himself, sparking debate","For years, the ‘pay it forward’ trend has been prevalent across Starbucks locations. This involves someone buying their coffee or food and telling the barista to also cover the next order. On many occasions, this can cause a chain reaction, with customer afte…",https://www.dailydot.com/irl/starbucks-worker-ending-pay-it-forward/,https://uploads.dailydot.com/2022/09/starbs_pay_it_forward.jpg?auto=compress&fm=pjpg,2022-09-05T15:30:49Z,"For years, the pay it forward trend has been prevalent across Starbucks locations. This involves someone buying their coffee or food and telling the barista to also cover the next order. On many occa… [+2351 chars]",ok,326,,The Daily Dot
9,"Afdhel Aziz, Contributor, 
 Afdhel Aziz, Contributor
 https://www.forbes.com/sites/afdhelaziz/",Five Mistakes Boards Make When Thinking About Purpose,"When it comes to the topic of Purpose in business, Boards have a crucial role to play in unleashing its power. However, there are some common mistakes that Boards make when considering this topic that are worth highlighting.",https://www.forbes.com/sites/afdhelaziz/2022/09/06/five-mistakes-boards-make-when-thinking-about-purpose/,https://imageio.forbes.com/specials-images/imageserve/631743ef67ccb7ced4213ebe/0x0.jpg?format=jpg&width=1200,2022-09-06T15:00:37Z,"Five Mistakes Boards Make When Thinking About Purpose
Photo by Damir Kopezhanov on Unsplash
When it comes to the topic of Purpose in business, Boards have a crucial role to play in unleashing its p… [+6385 chars]",ok,326,,Forbes
