,Author,Published Date,Title,Text,Title_without_stopwords,Text_without_stopwords,Language,Site_url,Main_img_url,Type,Label,hasImage
0,The Gateway Pundit,"September 6, 2022",Bank of America “announced a new mortgage home loan program for first-time homebuyers. But only blacks and Hispanics will be eligible.”,Unavailable,,,English,https://www.politifact.com//factchecks/2022/sep/06/gateway-pundit/bank-americas-new-home-loan-program-does-not-exclu/,False,Unknown,false,False
1,National Republican Senatorial Committee,"September 6, 2022","Says Mandela Barnes ""supports stripping health care away from millions.""",Unavailable,,,English,https://www.politifact.com//factchecks/2022/sep/06/national-republican-senatorial-committee/no-despite-claim-barnes-does-not-back-stripping-he/,False,Unknown,false,False
2,Charlie Crist,"September 2, 2022","Gov. Ron DeSantis raised ""taxes on the middle class by more than $1.5 billion while giving away $624 million to big corporations.""",Unavailable,,,English,https://www.politifact.com//factchecks/2022/sep/02/charlie-crist/charlie-crist-misleads-ron-desantis-record-taxes/,False,Unknown,barely-true,False
3,Tom Cotton,"September 2, 2022","“60% of Alaska voters voted for a Republican, but thanks to a convoluted process and ballot exhaustion — which disenfranchises voters — a Democrat ‘won.’""",Unavailable,,,English,https://www.politifact.com//factchecks/2022/sep/02/tom-cotton/how-tom-cotton-misleads-about-ranked-choice-voting/,False,Unknown,barely-true,False
4,Democratic Party of Wisconsin,"September 2, 2022",Says “Tim Michels doesn’t think gay people should be out in public.”,Unavailable,,,English,https://www.politifact.com//factchecks/2022/sep/02/state-democratic-party-wisconsin/wisconsin-dems-exaggerate-claim-tim-michels-believ/,False,Unknown,barely-true,False
5,CatholicVote,"September 1, 2022",Three churches were targeted during arson attacks over the summer “because they protect unborn babies and women in need.”,Unavailable,,,English,https://www.politifact.com//factchecks/2022/sep/01/catholicvote/catholic-groups-ad-attacking-biden-overstates-role/,False,Unknown,barely-true,False
6,Herschel Walker,"September 1, 2022","Joe Biden and Raphael Warnock ""are spending $1.5 billion on ‘urban forestry’ and raising taxes on those making under $200k to pay for it.”",Unavailable,,,English,https://www.politifact.com//factchecks/2022/sep/01/herschel-walker/what-herschel-walker-gets-wrong-and-right-about-fe/,False,Unknown,half-true,False
7,Cheri Beasley,"September 1, 2022","“Sixty-four members of Congress — Republicans and Democrats — have broken a law to stop insider stock trading, yet Washington refuses to do anything about it.”",Unavailable,,,English,https://www.politifact.com//factchecks/2022/sep/01/cheri-beasley/beasley-ad-half-right-about-stock-act-violations/,False,Unknown,half-true,False
8,Social Media,"• September 1,","In New York, you need to show identification to buy whipped cream, but not to vote.",Unavailable,,,English,https://www.politifact.com//factchecks/2022/sep/01/social-media/show-id-buy-whipped-cream-not-vote-new-york-s-misl/,False,Unknown,barely-true,False
9,Instagram posts,"August 31, 2022","""Water-fueled car can travel from LA to NY on 22 gallons.""",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/instagram-posts/claim-water-fueled-dune-buggy-defies-physics/,False,Unknown,false,False
10,Adam Laxalt,"• August 31,","The public health order Title 42 is ""the last tool Border Patrol has to stop the overwhelming flood of illegal immigrants pouring into our country.”",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/adam-laxalt/title-42-not-last-tool-border-patrol-has-prevent-i/,False,Unknown,false,False
11,Facebook posts,"August 31, 2022","""Documents prove White House behind entire FBI targeting of Trump. Biden lied.""",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/document-doesnt-prove-biden-lied-about-mar-lago-pr/,False,Unknown,false,False
12,Facebook posts,"August 31, 2022","The IRS is hiring 87,000 new agents to police people who will owe more federal tax after having their student loans forgiven.",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/irs-not-expanding-its-workforce-because-bidens-stu/,False,Unknown,false,False
13,Facebook posts,"August 31, 2022","Fox News sought the legal ""right to tell lies.""",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/viral-post-falsely-claims-fox-news-sought-legal-ri/,False,Unknown,false,False
14,Facebook posts,"August 31, 2022",“The Earth just started spinning faster than ever before and scientists are gravely concerned.”,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/earth-spun-little-faster-recently-scientists-arent/,False,Unknown,half-true,False
15,Facebook posts,"• August 31,",El Presidente de Rusia Vladimir Putin “anuncia que se arrepiente de invadir Ucrania”.,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/putin-no-ha-anunciado-que-esta-arrepentido-de-inva/,False,Unknown,false,False
16,Instagram posts,"August 31, 2022",The U.K. is no longer recommending the Pfizer-BioNTech COVID-19 mRNA vaccine for pregnant women.,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/instagram-posts/outdated-report-misconstrues-uks-covid-19-vaccine-/,False,Unknown,false,False
17,American Action Network,"August 31, 2022","Joe Biden's student debt forgiveness plan is a ""bailout for rich kids.""",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/american-action-network/most-relief-bidens-student-loan-forgiveness-plan-f/,False,Unknown,barely-true,False
18,Facebook posts,"August 31, 2022",An obscure filing with the Federal Election Commission shows Biden has formally announced his bid for another term.,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/no-fec-filing-doesnt-mean-joe-biden-has-announced-/,False,Unknown,false,False
19,Facebook posts,"August 31, 2022",Joe Biden threatened to assassinate Ukraine’s former president.,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/biden-didnt-threaten-kill-former-ukrainian-preside/,False,Unknown,pants-fire,False
