,Author,Published Date,Title,Text,Title_without_stopwords,Text_without_stopwords,Language,Site_url,Main_img_url,Type,Label,hasImage,camefrom,summarized_text,keywords
0,Facebook posts,2022-10-18,“California is registering non-citizens to vote and has refused to cooperate with the Federal Election Integrity Program.”,Unavailable,“ California registering non-citizens vote refused cooperate Federal Election Integrity Program . ”,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/18/facebook-posts/california-not-registering-noncitizens-vote-electi/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
1,Kanye West,2022-10-18,"Suggests fentanyl, not Derek Chauvin, killed George Floyd",Unavailable,"Suggests fentanyl , Derek Chauvin , killed George Floyd",Unavailable,English,https://www.politifact.com/factchecks/2022/oct/18/kanye-west/fact-checking-ye-who-denied-george-floyd-died-knee/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
2,Viral image,2022-10-18,"Kamala Harris said, “We have to acknowledge gas is high which is the opposite of low.”",Unavailable,"Kamala Harris said , “ We acknowledge gas high opposite low . ”",Unavailable,English,https://www.politifact.com/factchecks/2022/oct/18/viral-image/no-kamala-harris-didnt-say-this-about-gas-prices/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
3,Viral image,2022-10-18,“Trans species man who self-identifies as a deer accidentally shot by hunters.”,Unavailable,“ Trans species man self-identifies deer accidentally shot hunters . ”,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/18/viral-image/story-about-man-who-identifies-deer-originated-sat/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
4,Viral image,2022-10-18,“Covid vaccinations now prohibited in people under 50 in Denmark.”,Unavailable,“ Covid vaccinations prohibited people 50 Denmark . ”,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/18/viral-image/denmark-is-focusing-its-covid-19-booster-campaign/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
5,Joe Manchin,2022-10-18,“WV families making less than $400K & small businesses will NOT be targeted by the IRS.”,Unavailable,“ WV families making less $ 400K & small businesses NOT targeted IRS . ”,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/18/joe-manchin/fact-checking-joe-manchin-targeting-irs-audits/,,Unknown,Real,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
6,Joe Manchin,18--October,"“Over the past 5 years, natural gas costs have gone up over 200%” in the United States.",Unavailable,"“ Over past 5 years , natural gas costs gone 200 % ” United States .",Unavailable,English,https://www.politifact.com/factchecks/2022/oct/18/joe-manchin/have-natural-gas-costs-gone-over-200-over-past-5-y/,,Unknown,Real,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
7,National Republican Congressional Committee,2022-10-18,"Abigail Spanberger supported “nearly $1 billion in stimulus checks for prisoners, including domestic terrorists.”",Unavailable,"Abigail Spanberger supported “ nearly $ 1 billion stimulus checks prisoners , including domestic terrorists . ”",Unavailable,English,https://www.politifact.com/factchecks/2022/oct/18/national-republican-congressional-committee/spanberger-voted-send-stimulus-checks-inmates-so-d/,,Unknown,Real,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
8,Facebook posts,2022-10-17,"Video footage showing Chuck Schumer and Nancy Pelosi hiding on Jan. 6, 2021, shows the U.S. Capitol attack “was a setup.”",Unavailable,"Video footage showing Chuck Schumer Nancy Pelosi hiding Jan. 6 , 2021 , shows U.S. Capitol attack “ setup . ”",Unavailable,English,https://www.politifact.com/factchecks/2022/oct/17/facebook-posts/video-footage-of-pelosi-and-schumer-on-jan-6-doesn/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
9,Instagram posts,2022-10-17,There’s a “coincidental correlation” between COVID-19 vaccines and a spike in cancer in adults younger than 50.,Unavailable,There ’ “ coincidental correlation ” COVID-19 vaccines spike cancer adults younger 50 .,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/17/instagram-posts/cancer-study-was-data-well-covid-19-vaccines-exist/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
