Author,Published Date,Title,Text,Title_without_stopwords,Text_without_stopwords,Language,Site_url,Main_img_url,Type,Label,hasImage
Cruise Hive,2 days ago,Norwegian Cruise Line Switches From Pepsi to Coca-Cola,"Coca-Cola products have been spotted aboard multiple Norwegian Cruise Line 
ships where PepsiCo products used to be offered.",,,English,https://www.cruisehive.com/norwegian-cruise-line-switches-to-coca-cola-products/79026,https://serpapi.com/searches/6311421d9c449d9c04e470c3/images/3bf5f712e0d1da2b69d317bc7e63068154a6546f9b7a751a8b2be983bd5898ed.jpeg,Unknown,Unknown,True
MarketWatch,1 day ago,How big a Social Security COLA can retirees expect in 2023?,"The time has come to speculate about Social Security's cost-of-living 
adjustment (COLA) for 2023. Automatic indexing of benefits to keep up...",,,English,https://www.marketwatch.com/story/how-big-a-social-security-cola-can-retirees-expect-in-2023-11661615640,https://serpapi.com/searches/6311421d9c449d9c04e470c3/images/3bf5f712e0d1da2bf444b2d65449721e2bb9b88183f8457bb2cf2f250dfabda2.jpeg,Unknown,Unknown,True
Federal News Network,3 days ago,Pay raise vs. COLA: The 2-year solution!,"Life's a series of choices. Some easier and more important than others. 
Like when are you gonna retire? Does it really matter?",,,English,https://federalnewsnetwork.com/mike-causey-federal-report/2022/08/pay-raise-vs-cola-the-2-year-solution-2/,https://serpapi.com/searches/6311421d9c449d9c04e470c3/images/3bf5f712e0d1da2bcd94727b7507380632b54a5108f151793c4cadd2310e359c.jpeg,Unknown,Unknown,True
The A.V. Club,1 day ago,"Justin H. Min, Sherry Cola, and Ally Maki join the cast of Randall Park's directorial feature debut Shortcomin","Randall Park's directorial feature debut has confirmed its cast after 
shooting earlier this summer. As reported by Variety, Shortcomings is...",,,English,https://www.avclub.com/justin-h-min-sherry-cola-ally-maki-star-in-shortcomings-1849481429,https://serpapi.com/searches/6311421d9c449d9c04e470c3/images/3bf5f712e0d1da2b2e8e2f9f8d392fa15401adcd5a03e8556910d1f8d1443236.jpeg,Unknown,Unknown,True
CNBC,1 day ago,"Here are Wednesday's biggest analyst calls: Apple, Snap, Robinhood, Coca-Cola, PayPal & more","Here are Wednesday's biggest analyst calls: Apple, Snap, Robinhood, 
Coca-Cola, PayPal & more. Published Wed, Aug 31 20228:45 AM EDT Updated 
Moments Ago.",,,English,https://www.cnbc.com/2022/08/31/wednesday-top-analyst-calls-apple-snap-robinhood-coca-cola-paypal.html,https://serpapi.com/searches/6311421d9c449d9c04e470c3/images/3bf5f712e0d1da2bdb1d4383d2fe1ebafb3fef029787e9f90db7621a79022935.jpeg,Unknown,Unknown,True
MSN,2 days ago,How big a Social Security COLA can retirees expect in 2023?,"The time has come to speculate about Social Security's cost-of-living 
adjustment (COLA) for 2023. Automatic indexing of benefits to keep up with 
rising...",,,English,https://www.msn.com/en-us/money/retirement/how-big-a-social-security-cola-can-retirees-expect-in-2023/ar-AA11gteL?srcref=rss,https://serpapi.com/searches/6311421d9c449d9c04e470c3/images/3bf5f712e0d1da2b2f9db77f82d5a021b402f31663b8112af3cd3f666649a7e0.jpeg,Unknown,Unknown,True
Cruise Fever,6 hours ago,Norwegian Cruise Line Switching to Coca-Cola,"Norwegian Cruise Line has signed a beverage partnership with Coca-Cola and 
the world's #1 soft drink is debuting on the cruise line's newest...",,,English,https://cruisefever.net/norwegian-cruise-line-switching-to-coca-cola/,https://serpapi.com/searches/6311421d9c449d9c04e470c3/images/3bf5f712e0d1da2b914a5d9bafab692b0477303087b316c883ca63d4c22935db.jpeg,Unknown,Unknown,True
KALB,1 day ago,"Coca-Cola driver safe after being briefly taken by two armed suspects, police also search for a second stolen vehicle","ALEXANDRIA, La. (KALB) - The Alexandria Police Department said a Coca-Cola 
truck driver is safe after he and his truck were briefly taken by...",,,English,https://www.kalb.com/2022/08/31/coca-cola-driver-safe-after-being-briefly-taken-by-two-armed-suspects-police-also-search-second-stolen-vehicle/,https://serpapi.com/searches/6311421d9c449d9c04e470c3/images/3bf5f712e0d1da2bbb7576ab1d9aa35f52d8e98c1b3472299ee7632750b4cf4d.jpeg,Unknown,Unknown,True
Cruise Industry News,9 hours ago,Norwegian Cruise Line Announces Beverage Partnership With Coca-Cola,"As first reported by Cruise Industry News, Norwegian Cruise Line has 
announced a partnership with Coca-Cola, making it official via press...",,,English,https://www.cruiseindustrynews.com/cruise-news/28165-norwegian-cruise-line-announces-beverage-partnership-with-coca-cola.html,https://serpapi.com/searches/6311421d9c449d9c04e470c3/images/3bf5f712e0d1da2bed1511aa5187ba158c62e81c8d709691f5aecd8557b46f38.jpeg,Unknown,Unknown,True
Reuters,5 days ago,Coca-Cola bottler starts making 'Dobry Cola' in Russia,"Coca Cola HBC AG has started making a local cola, Dobry Cola, in Russia 
after stopping production and sales of Coca-Cola Co products...",,,English,https://www.reuters.com/markets/commodities/coca-cola-bottler-starts-making-dobry-cola-russia-2022-08-26/,https://serpapi.com/searches/6311421d9c449d9c04e470c3/images/3bf5f712e0d1da2b4ee0a59d33390dfc7063c596dd8db99b9178c8f32465461a.jpeg,Unknown,Unknown,True
