Author,Published Date,Title,Text,Title_without_stopwords,Text_without_stopwords,Language,Site_url,Main_img_url,Type,Label,hasImage
Facebook posts,"August 31, 2022",Joe Biden threatened to assassinate Ukraine’s former president.,Unavailable,Joe Biden threatened assassinate Ukraine ’ former president .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/biden-didnt-threaten-kill-former-ukrainian-preside/,False,Unknown,Fake,False
Instagram posts,"August 31, 2022",“Starbucks just announced that they’re going cashless.”,Unavailable,“ Starbucks announced ’ going cashless . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/instagram-posts/rumors-spread-starbucks-turning-its-stores-cashles/,False,Unknown,Fake,False
Charlie Kirk,"August 31, 2022",“Harvard is sitting on top of a $54 billion hedge fund they call an ‘endowment’ that they pay zero taxes on. Yale has $31 Billion. Stanford $29 Billion. Princeton $26 Billion.”,Unavailable,“ Harvard sitting top $ 54 billion hedge fund call ‘ endowment ’ pay zero taxes . Yale $ 31 Billion . Stanford $ 29 Billion . Princeton $ 26 Billion . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/charlie-kirk/some-university-endowments-are-taxed-there-are-lim/,False,Unknown,Real,False
Joni Ernst,"August 30, 2022","“The nonpartisan Congressional Budget Office says with the supersized staff, the IRS audit rate ‘would rise for ALL taxpayers’ regardless of income, and would even result in audits of innocent Americans who have paid their taxes and don’t owe the IRS anything.”",Unavailable,"“ The nonpartisan Congressional Budget Office says supersized staff , IRS audit rate ‘ would rise ALL taxpayers ’ regardless income , would even result audits innocent Americans paid taxes ’ owe IRS anything . ”",Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/joni-ernst/ernst-newsletter-skips-part-report-irs-audits/,False,Unknown,Real,False
Facebook posts,"August 30, 2022","Another continent may exist beneath Antarctica, which is also home to homicidal sea creature of unknown origin",Unavailable,"Another continent may exist beneath Antarctica , also home homicidal sea creature unknown origin",Unavailable,English,https://www.politifact.com//factchecks/2022/aug/30/facebook-posts/claim-about-hidden-antarctic-continent-and-killer-/,False,Unknown,Fake,False
Facebook posts,"August 30, 2022",The FBI “spent more time investigating” the Jan. 6 Capitol attack than 9/11.,Unavailable,The FBI “ spent time investigating ” Jan. 6 Capitol attack 9/11 .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/30/facebook-posts/jan-6-capitol-attack-investigation-nowhere-near-le/,False,Unknown,Fake,False
Facebook posts,"August 30, 2022","The National Guard was activated Jan. 6, 2021, and “is in complete control.”",Unavailable,"The National Guard activated Jan. 6 , 2021 , “ complete control . ”",Unavailable,English,https://www.politifact.com//factchecks/2022/aug/30/facebook-posts/no-us-military-has-not-taken-control-government/,False,Unknown,Fake,False
Mark Finchem,"August 30, 2022","“In Arizona, we have flood the zone with fake ballots.”",Unavailable,"“ In Arizona , flood zone fake ballots . ”",Unavailable,English,https://www.politifact.com//factchecks/2022/aug/30/mark-finchem/arizona-republican-secretary-state-candidate-wrong/,False,Unknown,Fake,False
Facebook posts,"August 30, 2022",Student debt relief is taxable by the Internal Revenue Service.,Unavailable,Student debt relief taxable Internal Revenue Service .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/30/facebook-posts/irs-wont-tax-student-loan-relief-some-states-might/,False,Unknown,Fake,False
Instagram posts,"August 30, 2022","Instagram’s ""precise location"" feature can be used by criminals to target victims.",Unavailable,Instagram ’ `` precise location '' feature used criminals target victims .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/30/instagram-posts/no-instagram-not-revealing-your-location-without-y/,False,Unknown,Fake,False
