Author,Published Date,Title,Text,Title_without_stopwords,Text_without_stopwords,Language,Site_url,Main_img_url,Type,Label,hasImage
Instagram posts,"August 31, 2022","""Water-fueled car can travel from LA to NY on 22 gallons.""",Unavailable,`` Water-fueled car travel LA NY 22 gallons . '',Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/instagram-posts/claim-water-fueled-dune-buggy-defies-physics/,False,Unknown,Fake,False
Adam Laxalt,"• August 31,","The public health order Title 42 is ""the last tool Border Patrol has to stop the overwhelming flood of illegal immigrants pouring into our country.”",Unavailable,The public health order Title 42 `` last tool Border Patrol stop overwhelming flood illegal immigrants pouring country . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/adam-laxalt/title-42-not-last-tool-border-patrol-has-prevent-i/,False,Unknown,Fake,False
Facebook posts,"August 31, 2022","""Documents prove White House behind entire FBI targeting of Trump. Biden lied.""",Unavailable,`` Documents prove White House behind entire FBI targeting Trump . Biden lied . '',Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/document-doesnt-prove-biden-lied-about-mar-lago-pr/,False,Unknown,Fake,False
Facebook posts,"August 31, 2022","The IRS is hiring 87,000 new agents to police people who will owe more federal tax after having their student loans forgiven.",Unavailable,"The IRS hiring 87,000 new agents police people owe federal tax student loans forgiven .",Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/irs-not-expanding-its-workforce-because-bidens-stu/,False,Unknown,Fake,False
Facebook posts,"August 31, 2022","Fox News sought the legal ""right to tell lies.""",Unavailable,Fox News sought legal `` right tell lies . '',Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/viral-post-falsely-claims-fox-news-sought-legal-ri/,False,Unknown,Fake,False
Facebook posts,"August 31, 2022",“The Earth just started spinning faster than ever before and scientists are gravely concerned.”,Unavailable,“ The Earth started spinning faster ever scientists gravely concerned . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/earth-spun-little-faster-recently-scientists-arent/,False,Unknown,Real,False
Facebook posts,"• August 31,",El Presidente de Rusia Vladimir Putin “anuncia que se arrepiente de invadir Ucrania”.,Unavailable,El Presidente de Rusia Vladimir Putin “ anuncia que se arrepiente de invadir Ucrania ” .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/putin-no-ha-anunciado-que-esta-arrepentido-de-inva/,False,Unknown,Fake,False
Instagram posts,"August 31, 2022",The U.K. is no longer recommending the Pfizer-BioNTech COVID-19 mRNA vaccine for pregnant women.,Unavailable,The U.K. longer recommending Pfizer-BioNTech COVID-19 mRNA vaccine pregnant women .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/instagram-posts/outdated-report-misconstrues-uks-covid-19-vaccine-/,False,Unknown,Fake,False
American Action Network,"August 31, 2022","Joe Biden's student debt forgiveness plan is a ""bailout for rich kids.""",Unavailable,Joe Biden 's student debt forgiveness plan `` bailout rich kids . '',Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/american-action-network/most-relief-bidens-student-loan-forgiveness-plan-f/,False,Unknown,Fake,False
Facebook posts,"August 31, 2022",An obscure filing with the Federal Election Commission shows Biden has formally announced his bid for another term.,Unavailable,An obscure filing Federal Election Commission shows Biden formally announced bid another term .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/no-fec-filing-doesnt-mean-joe-biden-has-announced-/,False,Unknown,Fake,False
