Author,Published Date,Title,Text,Title_without_stopwords,Text_without_stopwords,Language,Site_url,Main_img_url,Type,Label,hasImage
Instagram posts,"August 31, 2022","""Water-fueled car can travel from LA to NY on 22 gallons.""",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/instagram-posts/claim-water-fueled-dune-buggy-defies-physics/,False,Unknown,false,False
Adam Laxalt,"• August 31,","The public health order Title 42 is ""the last tool Border Patrol has to stop the overwhelming flood of illegal immigrants pouring into our country.”",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/adam-laxalt/title-42-not-last-tool-border-patrol-has-prevent-i/,False,Unknown,false,False
Facebook posts,"August 31, 2022","""Documents prove White House behind entire FBI targeting of Trump. Biden lied.""",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/document-doesnt-prove-biden-lied-about-mar-lago-pr/,False,Unknown,false,False
Facebook posts,"August 31, 2022","The IRS is hiring 87,000 new agents to police people who will owe more federal tax after having their student loans forgiven.",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/irs-not-expanding-its-workforce-because-bidens-stu/,False,Unknown,false,False
Facebook posts,"August 31, 2022","Fox News sought the legal ""right to tell lies.""",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/viral-post-falsely-claims-fox-news-sought-legal-ri/,False,Unknown,false,False
Facebook posts,"August 31, 2022",“The Earth just started spinning faster than ever before and scientists are gravely concerned.”,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/earth-spun-little-faster-recently-scientists-arent/,False,Unknown,half-true,False
Facebook posts,"• August 31,",El Presidente de Rusia Vladimir Putin “anuncia que se arrepiente de invadir Ucrania”.,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/putin-no-ha-anunciado-que-esta-arrepentido-de-inva/,False,Unknown,false,False
Instagram posts,"August 31, 2022",The U.K. is no longer recommending the Pfizer-BioNTech COVID-19 mRNA vaccine for pregnant women.,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/instagram-posts/outdated-report-misconstrues-uks-covid-19-vaccine-/,False,Unknown,false,False
American Action Network,"August 31, 2022","Joe Biden's student debt forgiveness plan is a ""bailout for rich kids.""",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/american-action-network/most-relief-bidens-student-loan-forgiveness-plan-f/,False,Unknown,barely-true,False
Facebook posts,"August 31, 2022",An obscure filing with the Federal Election Commission shows Biden has formally announced his bid for another term.,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/no-fec-filing-doesnt-mean-joe-biden-has-announced-/,False,Unknown,false,False
Facebook posts,"August 31, 2022",Joe Biden threatened to assassinate Ukraine’s former president.,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/biden-didnt-threaten-kill-former-ukrainian-preside/,False,Unknown,pants-fire,False
Instagram posts,"August 31, 2022",“Starbucks just announced that they’re going cashless.”,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/instagram-posts/rumors-spread-starbucks-turning-its-stores-cashles/,False,Unknown,false,False
Charlie Kirk,"August 31, 2022",“Harvard is sitting on top of a $54 billion hedge fund they call an ‘endowment’ that they pay zero taxes on. Yale has $31 Billion. Stanford $29 Billion. Princeton $26 Billion.”,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/charlie-kirk/some-university-endowments-are-taxed-there-are-lim/,False,Unknown,half-true,False
Joni Ernst,"August 30, 2022","“The nonpartisan Congressional Budget Office says with the supersized staff, the IRS audit rate ‘would rise for ALL taxpayers’ regardless of income, and would even result in audits of innocent Americans who have paid their taxes and don’t owe the IRS anything.”",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/31/joni-ernst/ernst-newsletter-skips-part-report-irs-audits/,False,Unknown,half-true,False
Facebook posts,"August 30, 2022","Another continent may exist beneath Antarctica, which is also home to homicidal sea creature of unknown origin",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/30/facebook-posts/claim-about-hidden-antarctic-continent-and-killer-/,False,Unknown,pants-fire,False
Facebook posts,"August 30, 2022",The FBI “spent more time investigating” the Jan. 6 Capitol attack than 9/11.,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/30/facebook-posts/jan-6-capitol-attack-investigation-nowhere-near-le/,False,Unknown,pants-fire,False
Facebook posts,"August 30, 2022","The National Guard was activated Jan. 6, 2021, and “is in complete control.”",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/30/facebook-posts/no-us-military-has-not-taken-control-government/,False,Unknown,pants-fire,False
Mark Finchem,"August 30, 2022","“In Arizona, we have flood the zone with fake ballots.”",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/30/mark-finchem/arizona-republican-secretary-state-candidate-wrong/,False,Unknown,pants-fire,False
Facebook posts,"August 30, 2022",Student debt relief is taxable by the Internal Revenue Service.,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/30/facebook-posts/irs-wont-tax-student-loan-relief-some-states-might/,False,Unknown,false,False
Instagram posts,"August 30, 2022","Instagram’s ""precise location"" feature can be used by criminals to target victims.",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/30/instagram-posts/no-instagram-not-revealing-your-location-without-y/,False,Unknown,false,False
Instagram posts,"August 30, 2022",Moderna’s lawsuits against Pfizer-BioNTech shows COVID-19 vaccines were in the works before the pandemic started.,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/30/instagram-posts/modernas-lawsuits-against-pfizer-do-not-prove-covi/,False,Unknown,false,False
Instagram posts,"August 30, 2022","Image claims to show a list of ""Republican members of Congress whose PPP loans were forgiven.""",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/30/instagram-posts/businesses-associated-these-gop-politicians-had-pa/,False,Unknown,true,False
Deidre DeJear,"August 29, 2022",“$1.5 billion of your taxpayer money is sitting in an account” that can be used for other purposes.,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/29/deidre-dejear/differences-exist-how-spend-it-state-budget-surplu/,False,Unknown,barely-true,False
Facebook posts,"August 29, 2022","Sarasota, Florida, teachers told they cannot purchase books, accept donated reading materials, order from Scholastic or hold book fairs.",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/29/facebook-posts/florida-school-district-halted-library-purchases-d/,False,Unknown,half-true,False
Viral image,"August 29, 2022",“Nearly half of pregnant women in Pfizer trial miscarried.”,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/29/viral-image/its-not-true-nearly-half-pregnant-women-pfizers-co/,False,Unknown,false,False
Facebook posts,"August 29, 2022",The Supreme Court will put Donald Trump back in office in October,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/29/facebook-posts/us-supreme-court-not-going-put-trump-back-office/,False,Unknown,pants-fire,False
National Republican Senatorial Committee,"August 29, 2022",Says Democratic Senate candidate Mandela Barnes “supports abolishing ICE.”,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/29/national-republican-senatorial-committee/barnes-does-not-support-abolish-ice-movement/,False,Unknown,barely-true,False
Facebook posts,"August 26, 2022","Screenshots show that conservative political commentator Ben Shapiro received more than $20,000 in Paycheck Protection Program loan forgiveness.",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/26/facebook-posts/political-commentator-ben-shapiro-didnt-receive-pp/,False,Unknown,false,False
Viral image,"August 26, 2022","""If your body's pH is alkaline, you cannot get cancer. And if you have cancer, it goes away.""",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/26/viral-image/no-your-bodys-ph-levels-cant-prevent-you-getting-c/,False,Unknown,false,False
Facebook posts,"August 26, 2022","""Monkeypox is a complete, fake sham” that’s “designed to force lockdowns, mandates and shots.”",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/26/facebook-posts/podcast-host-falsely-claims-monkeypox-governmental/,False,Unknown,pants-fire,False
